# name, smd?, value, package, component, x, y, angle
BOARD, PTH, BOARD80X150, BOARD-DINRAIL-3.17INX15CM, board80x150-board-dinrail-3.17inx15cm, 0.00, 0.00, 0.00
C1, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 14.61, 40.01, 180.00
C2, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 14.61, 48.90, 180.00
C3, SMD, 10uF, 0805-CAP, 10uf-0805-cap, 22.86, 55.24, 225.00
C4, SMD, 1.0uF, 0805-CAP, 1.0uf-0805-cap, 17.78, 55.24, 315.00
C5, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 64.14, 62.23, 0.00
CON3, PTH, , 1X03, -1x03, 0.00, 0.00, 180.00
I2C, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00
J1, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 0.00
J2, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 90.00
J3, PTH, , RJ25-TOP, -rj25-top, 0.00, 0.00, 180.00
JP2, PTH, 5v I2C Power, 1X02_LOCK, 5v i2c power-1x02_lock, 0.00, 0.00, 180.00
JP3, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
LABEL1, PTH, 7-12vDC, POWER_USAGE, 7-12vdc-power_usage, 0.00, 0.00, 90.00
LED1, PTH, LEDMATRIX, LEDMATRIX, ledmatrix-ledmatrix, 0.00, 0.00, 0.00
LED2, PTH, LEDMATRIX, LEDMATRIX, ledmatrix-ledmatrix, 0.00, 0.00, 0.00
OSHW1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
Q1, SMD, , SOT23, -sot23, 57.15, 39.37, 0.00
Q2, SMD, , SOT23, -sot23, 80.01, 39.37, 0.00
Q3, SMD, , SOT23, -sot23, 87.63, 39.37, 0.00
Q4, SMD, , SOT23, -sot23, 35.56, 39.37, 0.00
Q5, SMD, , SOT23, -sot23, 40.64, 39.37, 0.00
Q6, SMD, , SOT23, -sot23, 45.72, 39.37, 0.00
Q7, SMD, , SOT23, -sot23, 52.07, 39.37, 0.00
Q8, SMD, , SOT23, -sot23, 67.31, 39.37, 0.00
Q9, SMD, , SOT23, -sot23, 72.39, 39.37, 0.00
Q10, SMD, , SOT23, -sot23, 62.23, 39.37, 0.00
R1, SMD, 10k, 0805-RES, 10k-0805-res, 57.15, 34.93, 180.00
R2, SMD, 10k, 0805-RES, 10k-0805-res, 80.01, 34.93, 180.00
R3, SMD, 10k, 0805-RES, 10k-0805-res, 80.01, 44.45, 90.00
R4, SMD, 10k, 0805-RES, 10k-0805-res, 57.15, 44.45, 90.00
R5, SMD, 10k, 0805-RES, 10k-0805-res, 87.63, 34.93, 180.00
R6, SMD, 10k, 0805-RES, 10k-0805-res, 87.63, 44.45, 90.00
R7, SMD, 10k, 0805-RES, 10k-0805-res, 35.56, 34.93, 180.00
R8, SMD, 10k, 0805-RES, 10k-0805-res, 35.56, 44.45, 90.00
R9, SMD, 10k, 0805-RES, 10k-0805-res, 40.64, 34.93, 180.00
R10, SMD, 10k, 0805-RES, 10k-0805-res, 40.64, 44.45, 90.00
R11, SMD, 10k, 0805-RES, 10k-0805-res, 45.72, 34.93, 180.00
R12, SMD, 10k, 0805-RES, 10k-0805-res, 45.72, 44.45, 90.00
R13, SMD, 10k, 0805-RES, 10k-0805-res, 52.07, 34.93, 180.00
R14, SMD, 10k, 0805-RES, 10k-0805-res, 52.07, 44.45, 90.00
R15, SMD, 10k, 0805-RES, 10k-0805-res, 67.31, 34.93, 180.00
R16, SMD, 10k, 0805-RES, 10k-0805-res, 67.31, 44.45, 90.00
R17, SMD, 10k, 0805-RES, 10k-0805-res, 72.39, 34.93, 180.00
R18, SMD, 10k, 0805-RES, 10k-0805-res, 72.39, 44.45, 90.00
R19, SMD, 10k, 0805-RES, 10k-0805-res, 62.23, 34.93, 180.00
R20, SMD, 10k, 0805-RES, 10k-0805-res, 62.23, 44.45, 90.00
VR5.0, SMD, 5v, TO-252, 5v-to-252, 20.32, 62.34, 0.00
WEMOS, PTH, D1Mini, WEMOS-D1, d1mini-wemos-d1, 0.00, 0.00, 180.00
