# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD1,PTH,,BOARD-SEEED10X10-NOHOLES,-board-seeed10x10-noholes,0.00,0.00,0.00,0.00
CON1,PTH,,DCJ0202,-dcj0202,0.00,0.00,0.00,0.00
DCCIN,PTH,MSTBA2,MSTBA2,mstba2-mstba2,0.00,0.00,180.00,-180.00
J1,PTH,RJ12,RJ25,rj12-rj25,0.00,0.00,0.00,0.00
J2,PTH,RJ12,RJ25,rj12-rj25,0.00,0.00,0.00,0.00
LED1,SMD,Blue,0805-LED,blue-0805-led,93.34,16.13,90.00,-90.00
MOD1,PTH,ARDUINO-PRO-MICRO,ARDUINO-PRO-MICRO-NOSILK,arduino-pro-micro-arduino-pro-micro-nosilk,0.00,0.00,270.00,90.00
MT1,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
MT2,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
MT3,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
MT4,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
Q1,SMD,2N2222,SOT23,2n2222-sot23,67.28,20.47,0.00,0.00
R1,SMD,4k7,0805-RES,4k7-0805-res,64.14,21.56,270.00,90.00
R2,SMD,150k,0805-RES,150k-0805-res,71.76,15.24,90.00,-90.00
R3,SMD,47k,0805-RES,47k-0805-res,71.76,21.59,270.00,90.00
R14,SMD,39k,0805-RES,39k-0805-res,74.30,15.24,90.00,-90.00
R15,SMD,27k,0805-RES,27k-0805-res,78.11,15.21,90.00,-90.00
R16,SMD,240k,0805-RES,240k-0805-res,75.56,21.59,90.00,-90.00
R17,SMD,1k,0805-RES,1k-0805-res,79.38,21.59,270.00,90.00
R18,SMD,470R,0805-RES,470r-0805-res,93.34,19.94,90.00,-90.00
R19,SMD,47R,0805-RES,47r-0805-res,66.80,15.24,270.00,90.00
TK1,PTH,MSTBA2,MSTBA2,mstba2-mstba2,0.00,0.00,180.00,-180.00
TK2,PTH,MSTBA2,MSTBA2,mstba2-mstba2,0.00,0.00,180.00,-180.00
TK3,PTH,MSTBA2,MSTBA2,mstba2-mstba2,0.00,0.00,180.00,-180.00
TK4,PTH,MSTBA2,MSTBA2,mstba2-mstba2,0.00,0.00,180.00,-180.00
U$1,PTH,5-9vDC,PWR_LABEL,5-9vdc-pwr_label,0.00,0.00,90.00,-90.00
U1,SMD,LM393M,SO08,lm393m-so08,84.48,16.36,90.00,-90.00
X1,PTH,,KK-156-5,-kk-156-5,0.00,0.00,270.00,90.00
X2,PTH,,KK-156-5,-kk-156-5,0.00,0.00,270.00,90.00
X3,PTH,,KK-156-5,-kk-156-5,0.00,0.00,270.00,90.00
X4,PTH,,KK-156-5,-kk-156-5,0.00,0.00,270.00,90.00
