# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD1,PTH,BOARD,BOARD-SEEED10X10-NOHOLES,board-board-seeed10x10-noholes,0.00,0.00,0.00,0.00
CON1,PTH,2.1mm,DCJ0202,2.1mm-dcj0202,0.00,0.00,0.00,0.00
CON3,PTH,5MM,SCREWTERMINAL-5MM-3,5mm-screwterminal-5mm-3,0.00,0.00,180.00,-180.00
CON9,PTH,I2C,I2C-L,i2c-i2c-l,0.00,0.00,0.00,0.00
CON10,PTH,5MM,SCREWTERMINAL-5MM-3,5mm-screwterminal-5mm-3,0.00,0.00,180.00,-180.00
DCCIN,PTH,0.200,MSTBA2,0.200-mstba2,0.00,0.00,180.00,-180.00
IO4-MASTER,PTH,RJ12/6,RJ25-INVERTED,rj12/6-rj25-inverted,0.00,0.00,0.00,0.00
IO4-SLAVE,PTH,RJ12/6,RJ25-INVERTED,rj12/6-rj25-inverted,0.00,0.00,0.00,0.00
MCU,PTH,Mini-R2,WEMOS-D1,mini-r2-wemos-d1,0.00,0.00,0.00,0.00
MT1,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
MT2,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
MT3,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
MT4,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
TK1,PTH,0.200,MSTBA2,0.200-mstba2,0.00,0.00,180.00,-180.00
TK2,PTH,0.200,MSTBA2,0.200-mstba2,0.00,0.00,180.00,-180.00
TK3,PTH,0.200,MSTBA2,0.200-mstba2,0.00,0.00,180.00,-180.00
TK4,PTH,0.200,MSTBA2,0.200-mstba2,0.00,0.00,180.00,-180.00
X1,PTH,0.156,KK-156-5,0.156-kk-156-5,0.00,0.00,270.00,90.00
X2,PTH,0.156,KK-156-5,0.156-kk-156-5,0.00,0.00,270.00,90.00
X3,PTH,0.156,KK-156-5,0.156-kk-156-5,0.00,0.00,270.00,90.00
X4,PTH,0.156,KK-156-5,0.156-kk-156-5,0.00,0.00,270.00,90.00
