# name, smd?, value, package, component, x, y, angle
FID1, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 8.89, 48.90, 270.00
FID2, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 18.41, 12.07, 270.00
FID3, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 1.91, 12.07, 270.00
IOB, PTH, IO4-IOBBARE, IO4-IOB, io4-iobbare-io4-iob, 0.00, 0.00, 270.00
J1, PTH, RJ12/6, RJ25, rj12/6-rj25, 0.00, 0.00, 180.00
LED0, SMD, Y, 0603-LED, y-0603-led, 15.24, 2.54, 270.00
LED1, SMD, Y, 0603-LED, y-0603-led, 11.43, 2.54, 270.00
LED2, SMD, Y, 0603-LED, y-0603-led, 7.62, 2.54, 270.00
LED3, SMD, Y, 0603-LED, y-0603-led, 3.81, 2.54, 270.00
Q0, SMD, P-FET, SOT23, p-fet-sot23, 15.24, 6.99, 180.00
Q1, SMD, P-FET, SOT23, p-fet-sot23, 11.43, 6.99, 180.00
Q2, SMD, P-FET, SOT23, p-fet-sot23, 7.62, 6.99, 180.00
Q3, SMD, P-FET, SOT23, p-fet-sot23, 3.81, 6.99, 180.00
R0, SMD, 2K0, 0805-RES, 2k0-0805-res, 13.34, 4.45, 90.00
R1, SMD, 2K0, 0805-RES, 2k0-0805-res, 9.53, 4.45, 90.00
R2, SMD, 2K0, 0805-RES, 2k0-0805-res, 5.71, 4.45, 90.00
R3, SMD, 2K0, 0805-RES, 2k0-0805-res, 1.91, 4.45, 90.00
R4, SMD, 1K0, 0805-RES, 1k0-0805-res, 4.83, 17.27, 90.00
R5, SMD, 1K0, 0805-RES, 1k0-0805-res, 7.37, 17.27, 90.00
R6, SMD, 1K0, 0805-RES, 1k0-0805-res, 9.91, 17.27, 90.00
R7, SMD, 1K0, 0805-RES, 1k0-0805-res, 12.45, 17.27, 90.00
VIN, PTH, , 1X03, -1x03, 0.00, 0.00, 0.00
