# name, smd?, value, package, component, x, y, angle, YXAngle
D1X11, SMD, , SOT23-3, -sot23-3, 63.55, 12.70, 270.00, 180.00
D1X12, SMD, , SOT23-3, -sot23-3, 63.55, 33.02, 270.00, 180.00
D1X13, SMD, , SOT23-3, -sot23-3, 63.55, 53.34, 270.00, 180.00
D1X14, SMD, , SOT23-3, -sot23-3, 63.55, 73.66, 270.00, 180.00
FID1X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 41.27, 10.16, 0.00, 90.00
FID1X12, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 41.27, 30.48, 0.00, 90.00
FID1X13, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 41.27, 50.80, 0.00, 90.00
FID1X14, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 41.27, 71.12, 0.00, 90.00
FID2X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 76.84, 27.30, 0.00, 90.00
FID2X12, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 76.84, 47.62, 0.00, 90.00
FID2X13, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 76.84, 67.95, 0.00, 90.00
FID2X14, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 76.84, 88.27, 0.00, 90.00
J1X11, PTH, , RJ24-INVERTED-PINS, -rj24-inverted-pins, 0.00, 0.00, 90.00, 0.00
J1X12, PTH, , RJ24-INVERTED-PINS, -rj24-inverted-pins, 0.00, 0.00, 90.00, 0.00
J1X13, PTH, , RJ24-INVERTED-PINS, -rj24-inverted-pins, 0.00, 0.00, 90.00, 0.00
J1X14, PTH, , RJ24-INVERTED-PINS, -rj24-inverted-pins, 0.00, 0.00, 90.00, 0.00
R1X11, SMD, , 0805-RES, -0805-res, 58.42, 24.13, 270.00, 180.00
R1X12, SMD, , 0805-RES, -0805-res, 58.42, 44.45, 270.00, 180.00
R1X13, SMD, , 0805-RES, -0805-res, 58.42, 64.77, 270.00, 180.00
R1X14, SMD, , 0805-RES, -0805-res, 58.42, 85.09, 270.00, 180.00
R2X11, SMD, , 0805-RES, -0805-res, 54.61, 24.13, 270.00, 180.00
R2X12, SMD, , 0805-RES, -0805-res, 54.61, 44.45, 270.00, 180.00
R2X13, SMD, , 0805-RES, -0805-res, 54.61, 64.77, 270.00, 180.00
R2X14, SMD, , 0805-RES, -0805-res, 54.61, 85.09, 270.00, 180.00
R3X11, SMD, , 0805-RES, -0805-res, 50.80, 24.13, 270.00, 180.00
R3X12, SMD, , 0805-RES, -0805-res, 50.80, 44.45, 270.00, 180.00
R3X13, SMD, , 0805-RES, -0805-res, 50.80, 64.77, 270.00, 180.00
R3X14, SMD, , 0805-RES, -0805-res, 50.80, 85.09, 270.00, 180.00
R4X11, SMD, , 0805-RES, -0805-res, 54.61, 12.70, 0.00, 90.00
R4X12, SMD, , 0805-RES, -0805-res, 54.61, 33.02, 0.00, 90.00
R4X13, SMD, , 0805-RES, -0805-res, 54.61, 53.34, 0.00, 90.00
R4X14, SMD, , 0805-RES, -0805-res, 54.61, 73.66, 0.00, 90.00
R5X11, SMD, , 0805-RES, -0805-res, 43.18, 19.05, 180.00, -90.00
R5X12, SMD, , 0805-RES, -0805-res, 43.18, 39.37, 180.00, -90.00
R5X13, SMD, , 0805-RES, -0805-res, 43.18, 59.69, 180.00, -90.00
R5X14, SMD, , 0805-RES, -0805-res, 43.18, 80.01, 180.00, -90.00
R6X11, SMD, , 0805-RES, -0805-res, 43.18, 16.51, 180.00, -90.00
R6X12, SMD, , 0805-RES, -0805-res, 43.18, 36.83, 180.00, -90.00
R6X13, SMD, , 0805-RES, -0805-res, 43.18, 57.15, 180.00, -90.00
R6X14, SMD, , 0805-RES, -0805-res, 43.18, 77.47, 180.00, -90.00
R7X11, SMD, , 0805-RES, -0805-res, 43.18, 21.59, 180.00, -90.00
R7X12, SMD, , 0805-RES, -0805-res, 43.18, 41.91, 180.00, -90.00
R7X13, SMD, , 0805-RES, -0805-res, 43.18, 62.23, 180.00, -90.00
R7X14, SMD, , 0805-RES, -0805-res, 43.18, 82.55, 180.00, -90.00
U$1X1, PTH, , BOARD-DINRAIL-3.17IN-H4X-IOB, -board-dinrail-3.17in-h4x-iob, 0.00, 0.00, 0.00, 90.00
U$1X11, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 0.00, 90.00
U$1X12, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 0.00, 90.00
U$1X13, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 0.00, 90.00
U$1X14, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 0.00, 90.00
