# name, smd?, value, package, component, x, y, angle
BOARD1, PTH, , BOARD-SEEED10X10-NOHOLES, -board-seeed10x10-noholes, 0.00, 0.00, 0.00
GYR+, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 1X04_LOCK, connector-grove-4p-2.0-3470130p1-1x04_lock, 0.00, 0.00, 180.00
GYR+1, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 1X04_LOCK, connector-grove-4p-2.0-3470130p1-1x04_lock, 0.00, 0.00, 180.00
GYR+2, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 1X04_LOCK, connector-grove-4p-2.0-3470130p1-1x04_lock, 0.00, 0.00, 180.00
GYR+3, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 1X04_LOCK, connector-grove-4p-2.0-3470130p1-1x04_lock, 0.00, 0.00, 180.00
GYR+4, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 1X04_LOCK, connector-grove-4p-2.0-3470130p1-1x04_lock, 0.00, 0.00, 180.00
GYR+5, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 1X04_LOCK, connector-grove-4p-2.0-3470130p1-1x04_lock, 0.00, 0.00, 180.00
GYR+6, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 1X04_LOCK, connector-grove-4p-2.0-3470130p1-1x04_lock, 0.00, 0.00, 0.00
GYR+7, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 1X04_LOCK, connector-grove-4p-2.0-3470130p1-1x04_lock, 0.00, 0.00, 0.00
GYR+8, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 1X04_LOCK, connector-grove-4p-2.0-3470130p1-1x04_lock, 0.00, 0.00, 0.00
GYR+9, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 1X04_LOCK, connector-grove-4p-2.0-3470130p1-1x04_lock, 0.00, 0.00, 0.00
GYR+10, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 1X04_LOCK, connector-grove-4p-2.0-3470130p1-1x04_lock, 0.00, 0.00, 0.00
GYR+11, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 1X04_LOCK, connector-grove-4p-2.0-3470130p1-1x04_lock, 0.00, 0.00, 0.00
LED1, SMD, R, 0603-LED, r-0603-led, 19.23, 38.10, 180.00
LED2, SMD, Y, 0603-LED, y-0603-led, 19.18, 40.64, 180.00
LED3, SMD, G, 0603-LED, g-0603-led, 19.15, 43.18, 180.00
LED4, SMD, R, 0603-LED, r-0603-led, 31.93, 38.10, 180.00
LED5, SMD, Y, 0603-LED, y-0603-led, 31.88, 40.64, 180.00
LED6, SMD, G, 0603-LED, g-0603-led, 31.85, 43.18, 180.00
LED7, SMD, R, 0603-LED, r-0603-led, 44.63, 38.10, 180.00
LED8, SMD, Y, 0603-LED, y-0603-led, 44.58, 40.64, 180.00
LED9, SMD, G, 0603-LED, g-0603-led, 44.55, 43.18, 180.00
LED10, SMD, R, 0603-LED, r-0603-led, 57.33, 38.10, 180.00
LED11, SMD, Y, 0603-LED, y-0603-led, 57.28, 40.64, 180.00
LED12, SMD, G, 0603-LED, g-0603-led, 57.25, 43.18, 180.00
LED13, SMD, R, 0603-LED, r-0603-led, 70.03, 38.10, 180.00
LED14, SMD, Y, 0603-LED, y-0603-led, 69.98, 40.64, 180.00
LED15, SMD, G, 0603-LED, g-0603-led, 69.95, 43.18, 180.00
LED16, SMD, R, 0603-LED, r-0603-led, 82.73, 38.10, 180.00
LED17, SMD, Y, 0603-LED, y-0603-led, 82.68, 40.64, 180.00
LED18, SMD, G, 0603-LED, g-0603-led, 82.65, 43.18, 180.00
LED19, SMD, R, 0603-LED, r-0603-led, 19.12, 62.10, 0.00
LED20, SMD, Y, 0603-LED, y-0603-led, 19.17, 59.56, 0.00
LED21, SMD, G, 0603-LED, g-0603-led, 19.20, 57.02, 0.00
LED22, SMD, R, 0603-LED, r-0603-led, 31.70, 62.10, 0.00
LED23, SMD, Y, 0603-LED, y-0603-led, 31.75, 59.56, 0.00
LED24, SMD, G, 0603-LED, g-0603-led, 31.78, 57.02, 0.00
LED25, SMD, R, 0603-LED, r-0603-led, 44.40, 62.10, 0.00
LED26, SMD, Y, 0603-LED, y-0603-led, 44.45, 59.56, 0.00
LED27, SMD, G, 0603-LED, g-0603-led, 44.48, 57.02, 0.00
LED28, SMD, R, 0603-LED, r-0603-led, 57.10, 62.10, 0.00
LED29, SMD, Y, 0603-LED, y-0603-led, 57.15, 59.56, 0.00
LED30, SMD, G, 0603-LED, g-0603-led, 57.18, 57.02, 0.00
LED31, SMD, R, 0603-LED, r-0603-led, 69.80, 62.10, 0.00
LED32, SMD, Y, 0603-LED, y-0603-led, 69.84, 59.56, 0.00
LED33, SMD, G, 0603-LED, g-0603-led, 69.88, 57.02, 0.00
LED34, SMD, R, 0603-LED, r-0603-led, 82.50, 62.10, 0.00
LED35, SMD, Y, 0603-LED, y-0603-led, 82.55, 59.56, 0.00
LED36, SMD, G, 0603-LED, g-0603-led, 82.58, 57.02, 0.00
