# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
CARRIER,PTH,BOARD,BOARD-DINRAIL-3.17IN-5X2-IOP,board-board-dinrail-3.17in-5x2-iop,0.00,0.00,0.00,0.00
FID-LR,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,93.98,10.16,0.00,0.00
FID-UL,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,5.08,91.44,0.00,0.00
JP1X11,PTH,CONNECTOR-M05X2,IOB-V3-MODULE,connector-m05x2-iob-v3-module,0.00,0.00,270.00,90.00
JP1X12,PTH,CONNECTOR-M05X2,IOB-V3-MODULE,connector-m05x2-iob-v3-module,0.00,0.00,270.00,90.00
JP1X21,PTH,CONNECTOR-M05X2,IOB-V3-MODULE,connector-m05x2-iob-v3-module,0.00,0.00,270.00,90.00
JP1X22,PTH,CONNECTOR-M05X2,IOB-V3-MODULE,connector-m05x2-iob-v3-module,0.00,0.00,270.00,90.00
JP1X31,PTH,CONNECTOR-M05X2,IOB-V3-MODULE,connector-m05x2-iob-v3-module,0.00,0.00,270.00,90.00
JP1X32,PTH,CONNECTOR-M05X2,IOB-V3-MODULE,connector-m05x2-iob-v3-module,0.00,0.00,270.00,90.00
JP1X41,PTH,CONNECTOR-M05X2,IOB-V3-MODULE,connector-m05x2-iob-v3-module,0.00,0.00,270.00,90.00
JP1X42,PTH,CONNECTOR-M05X2,IOB-V3-MODULE,connector-m05x2-iob-v3-module,0.00,0.00,270.00,90.00
JP1X51,PTH,CONNECTOR-M05X2,IOB-V3-MODULE,connector-m05x2-iob-v3-module,0.00,0.00,270.00,90.00
JP1X52,PTH,CONNECTOR-M05X2,IOB-V3-MODULE,connector-m05x2-iob-v3-module,0.00,0.00,270.00,90.00
Q1X11,SMD,N-FET,SOT23-3,n-fet-sot23-3,10.16,25.35,90.00,-90.00
Q1X12,SMD,N-FET,SOT23-3,n-fet-sot23-3,10.16,63.45,90.00,-90.00
Q1X21,SMD,N-FET,SOT23-3,n-fet-sot23-3,27.94,25.35,90.00,-90.00
Q1X22,SMD,N-FET,SOT23-3,n-fet-sot23-3,27.94,63.45,90.00,-90.00
Q1X31,SMD,N-FET,SOT23-3,n-fet-sot23-3,45.72,25.35,90.00,-90.00
Q1X32,SMD,N-FET,SOT23-3,n-fet-sot23-3,45.72,63.45,90.00,-90.00
Q1X41,SMD,N-FET,SOT23-3,n-fet-sot23-3,63.50,25.35,90.00,-90.00
Q1X42,SMD,N-FET,SOT23-3,n-fet-sot23-3,63.50,63.45,90.00,-90.00
Q1X51,SMD,N-FET,SOT23-3,n-fet-sot23-3,81.28,25.35,90.00,-90.00
Q1X52,SMD,N-FET,SOT23-3,n-fet-sot23-3,81.28,63.45,90.00,-90.00
Q2X11,SMD,N-FET,SOT23-3,n-fet-sot23-3,13.97,25.35,90.00,-90.00
Q2X12,SMD,N-FET,SOT23-3,n-fet-sot23-3,13.97,63.45,90.00,-90.00
Q2X21,SMD,N-FET,SOT23-3,n-fet-sot23-3,31.75,25.35,90.00,-90.00
Q2X22,SMD,N-FET,SOT23-3,n-fet-sot23-3,31.75,63.45,90.00,-90.00
Q2X31,SMD,N-FET,SOT23-3,n-fet-sot23-3,49.53,25.35,90.00,-90.00
Q2X32,SMD,N-FET,SOT23-3,n-fet-sot23-3,49.53,63.45,90.00,-90.00
Q2X41,SMD,N-FET,SOT23-3,n-fet-sot23-3,67.31,25.35,90.00,-90.00
Q2X42,SMD,N-FET,SOT23-3,n-fet-sot23-3,67.31,63.45,90.00,-90.00
Q2X51,SMD,N-FET,SOT23-3,n-fet-sot23-3,85.09,25.35,90.00,-90.00
Q2X52,SMD,N-FET,SOT23-3,n-fet-sot23-3,85.09,63.45,90.00,-90.00
Q3X11,SMD,N-FET,SOT23-3,n-fet-sot23-3,17.78,25.35,90.00,-90.00
Q3X12,SMD,N-FET,SOT23-3,n-fet-sot23-3,17.78,63.45,90.00,-90.00
Q3X21,SMD,N-FET,SOT23-3,n-fet-sot23-3,35.56,25.35,90.00,-90.00
Q3X22,SMD,N-FET,SOT23-3,n-fet-sot23-3,35.56,63.45,90.00,-90.00
Q3X31,SMD,N-FET,SOT23-3,n-fet-sot23-3,53.34,25.35,90.00,-90.00
Q3X32,SMD,N-FET,SOT23-3,n-fet-sot23-3,53.34,63.45,90.00,-90.00
Q3X41,SMD,N-FET,SOT23-3,n-fet-sot23-3,71.12,25.35,90.00,-90.00
Q3X42,SMD,N-FET,SOT23-3,n-fet-sot23-3,71.12,63.45,90.00,-90.00
Q3X51,SMD,N-FET,SOT23-3,n-fet-sot23-3,88.90,25.35,90.00,-90.00
Q3X52,SMD,N-FET,SOT23-3,n-fet-sot23-3,88.90,63.45,90.00,-90.00
Q4X11,SMD,N-FET,SOT23-3,n-fet-sot23-3,21.59,25.35,90.00,-90.00
Q4X12,SMD,N-FET,SOT23-3,n-fet-sot23-3,21.59,63.45,90.00,-90.00
Q4X21,SMD,N-FET,SOT23-3,n-fet-sot23-3,39.37,25.35,90.00,-90.00
Q4X22,SMD,N-FET,SOT23-3,n-fet-sot23-3,39.37,63.45,90.00,-90.00
Q4X31,SMD,N-FET,SOT23-3,n-fet-sot23-3,57.15,25.35,90.00,-90.00
Q4X32,SMD,N-FET,SOT23-3,n-fet-sot23-3,57.15,63.45,90.00,-90.00
Q4X41,SMD,N-FET,SOT23-3,n-fet-sot23-3,74.93,25.35,90.00,-90.00
Q4X42,SMD,N-FET,SOT23-3,n-fet-sot23-3,74.93,63.45,90.00,-90.00
Q4X51,SMD,N-FET,SOT23-3,n-fet-sot23-3,92.71,25.35,90.00,-90.00
Q4X52,SMD,N-FET,SOT23-3,n-fet-sot23-3,92.71,63.45,90.00,-90.00
Q5X11,SMD,N-FET,SOT23-3,n-fet-sot23-3,11.56,34.88,90.00,-90.00
Q5X12,SMD,N-FET,SOT23-3,n-fet-sot23-3,11.56,72.98,90.00,-90.00
Q5X21,SMD,N-FET,SOT23-3,n-fet-sot23-3,29.34,34.88,90.00,-90.00
Q5X22,SMD,N-FET,SOT23-3,n-fet-sot23-3,29.34,72.98,90.00,-90.00
Q5X31,SMD,N-FET,SOT23-3,n-fet-sot23-3,47.12,34.88,90.00,-90.00
Q5X32,SMD,N-FET,SOT23-3,n-fet-sot23-3,47.12,72.98,90.00,-90.00
Q5X41,SMD,N-FET,SOT23-3,n-fet-sot23-3,64.90,34.88,90.00,-90.00
Q5X42,SMD,N-FET,SOT23-3,n-fet-sot23-3,64.90,72.98,90.00,-90.00
Q5X51,SMD,N-FET,SOT23-3,n-fet-sot23-3,82.68,34.88,90.00,-90.00
Q5X52,SMD,N-FET,SOT23-3,n-fet-sot23-3,82.68,72.98,90.00,-90.00
Q6X11,SMD,N-FET,SOT23-3,n-fet-sot23-3,19.18,34.88,90.00,-90.00
Q6X12,SMD,N-FET,SOT23-3,n-fet-sot23-3,19.18,72.98,90.00,-90.00
Q6X21,SMD,N-FET,SOT23-3,n-fet-sot23-3,36.96,34.88,90.00,-90.00
Q6X22,SMD,N-FET,SOT23-3,n-fet-sot23-3,36.96,72.98,90.00,-90.00
Q6X31,SMD,N-FET,SOT23-3,n-fet-sot23-3,54.74,34.88,90.00,-90.00
Q6X32,SMD,N-FET,SOT23-3,n-fet-sot23-3,54.74,72.98,90.00,-90.00
Q6X41,SMD,N-FET,SOT23-3,n-fet-sot23-3,72.52,34.88,90.00,-90.00
Q6X42,SMD,N-FET,SOT23-3,n-fet-sot23-3,72.52,72.98,90.00,-90.00
Q6X51,SMD,N-FET,SOT23-3,n-fet-sot23-3,90.30,34.88,90.00,-90.00
