# name, smd?, value, package, component, x, y, angle
BOARD1, PTH, BOARD69X70, BOARD-DINRAIL-2.7IN-7CM, board69x70-board-dinrail-2.7in-7cm, 0.00, 0.00, 0.00
C1, PTH, 0.1uF, C050-024X044, 0.1uf-c050-024x044, 0.00, 0.00, 270.00
C2, PTH, .01uF, C050-024X044, .01uf-c050-024x044, 0.00, 0.00, 270.00
C4, PTH, .01uF, C-PTH-0.100, .01uf-c-pth-0.100, 0.00, 0.00, 0.00
C5, PTH, .01uF, C-PTH-0.100, .01uf-c-pth-0.100, 0.00, 0.00, 270.00
CMRI-IO, PTH, , CON-CMRI-IO, -con-cmri-io, 0.00, 0.00, 90.00
CMRINETTOP, PTH, , CMRINET-3.5MM, -cmrinet-3.5mm, 0.00, 0.00, 0.00
CMRINETTOP1, PTH, , CMRINET-3.5MM, -cmrinet-3.5mm, 0.00, 0.00, 0.00
D1, PTH, 1N4148, DIODE-1N4148, 1n4148-diode-1n4148, 0.00, 0.00, 90.00
R1, PTH, , AXIAL-0.3-RES, -axial-0.3-res, 0.00, 0.00, 270.00
R2, PTH, 470, AXIAL-0.3-RES, 470-axial-0.3-res, 0.00, 0.00, 90.00
RS485IN1, PTH, CMRInet Hdr Rt, KK-156-5, cmrinet hdr rt-kk-156-5, 0.00, 0.00, 0.00
RS485IN2, PTH, CMRInet Hdr Top, KK-156-5, cmrinet hdr top-kk-156-5, 0.00, 0.00, 0.00
TX, PTH, , LED5MM, -led5mm, 0.00, 0.00, 90.00
U$3, PTH, , MRCS-LOGO, -mrcs-logo, 0.00, 0.00, 0.00
U1, PTH, MAX3465CPD, DIL14, max3465cpd-dil14, 0.00, 0.00, 90.00
U2, PTH, , DIL-08, -dil-08, 0.00, 0.00, 0.00
