# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD,PTH,BOARD,BOARD-DINRAIL-2.7IN-8CM,board-board-dinrail-2.7in-8cm,0.00,0.00,0.00,0.00
C1,SMD,220uF,0810-CAP,220uf-0810-cap,14.61,30.48,180.00,-180.00
C2,SMD,1.0uF,0603-CAP,1.0uf-0603-cap,14.60,38.10,315.00,135.00
C3,SMD,10uF,0603-CAP,10uf-0603-cap,19.68,38.10,225.00,45.00
CMRI-IO,PTH,0.100,1X05_LOCK_LONGPADS,0.100-1x05_lock_longpads,0.00,0.00,90.00,-90.00
CON5,PTH,3.5mm,SCREWTERMINAL-3.5MM-2_LOCK,3.5mm-screwterminal-3.5mm-2_lock,0.00,0.00,0.00,0.00
I2C,PTH,I2C,I2C-L,i2c-i2c-l,0.00,0.00,0.00,0.00
J1,PTH,2.1mm,DCJ0202,2.1mm-dcj0202,0.00,0.00,0.00,0.00
LABEL1,PTH,7.5-12vDC,PWR_LABEL,7.5-12vdc-pwr_label,0.00,0.00,180.00,-180.00
OSHW1,PTH,OSHW,OSHW-LOGO-L,oshw-oshw-logo-l,0.00,0.00,0.00,0.00
Q1,SMD,2n7002,SOT23,2n7002-sot23,59.69,45.72,270.00,90.00
Q2,SMD,2n7002,SOT23,2n7002-sot23,50.80,45.72,270.00,90.00
Q3,SMD,2n7002,SOT23,2n7002-sot23,45.72,45.72,270.00,90.00
Q4,SMD,2n7002,SOT23,2n7002-sot23,35.56,45.72,270.00,90.00
Q5,SMD,2n7002,SOT23,2n7002-sot23,40.64,45.72,270.00,90.00
R1,SMD,10k,0603-RES,10k-0603-res,59.69,41.27,180.00,-180.00
R2,SMD,10k,0603-RES,10k-0603-res,50.80,41.27,180.00,-180.00
R3,SMD,10k,0603-RES,10k-0603-res,50.80,50.80,90.00,-90.00
R4,SMD,10k,0603-RES,10k-0603-res,59.69,50.80,90.00,-90.00
R5,SMD,10k,0603-RES,10k-0603-res,45.72,41.27,180.00,-180.00
R6,SMD,10k,0603-RES,10k-0603-res,45.72,50.80,90.00,-90.00
R7,SMD,10k,0603-RES,10k-0603-res,35.56,41.27,180.00,-180.00
R8,SMD,10k,0603-RES,10k-0603-res,35.56,50.80,90.00,-90.00
R9,SMD,10k,0603-RES,10k-0603-res,40.64,41.27,180.00,-180.00
R10,SMD,10k,0603-RES,10k-0603-res,40.64,50.80,90.00,-90.00
U$1,PTH,2mm,POWER-R2,2mm-power-r2,0.00,0.00,0.00,0.00
VR5.0,SMD,CJ7805,TO-252,cj7805-to-252,17.14,46.46,90.00,-90.00
WEMOS,PTH,Mini-R2,WEMOS-D1,mini-r2-wemos-d1,0.00,0.00,180.00,-180.00
