# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
FID-LR, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 93.98, 10.16, 0.00, 0.00
FID-UL, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 5.08, 91.44, 0.00, 0.00
JP1X11, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 16.51, 15.49, 90.00, -90.00
JP1X12, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 16.51, 53.59, 90.00, -90.00
JP1X21, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 34.29, 15.49, 90.00, -90.00
JP1X22, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 34.29, 53.59, 90.00, -90.00
JP1X31, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 52.07, 15.49, 90.00, -90.00
JP1X32, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 52.07, 53.59, 90.00, -90.00
JP1X41, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 69.85, 15.49, 90.00, -90.00
JP1X42, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 69.85, 53.59, 90.00, -90.00
JP1X51, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 87.63, 15.49, 90.00, -90.00
JP1X52, SMD, CONNECTOR-M05X2EDGE, 2X5-EDGE, connector-m05x2edge-2x5-edge, 87.63, 53.59, 90.00, -90.00
